layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.5428571428571429,0.0,"[[6, 1], [3, 2]]",5
1,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.5428571428571429,0.0,"[[6, 1], [3, 2]]",5
2,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.5428571428571429,0.0,"[[5, 2], [2, 3]]",5
3,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.5428571428571428,0.0,"[[6, 1], [3, 2]]",5
4,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.5142857142857142,0.0,"[[6, 1], [3, 2]]",5
5,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.5714285714285714,0.0,"[[6, 1], [3, 2]]",5
6,0.5833333333333334,0.0,0.5804195804195804,0.0,12.0,0.0,0.45714285714285713,0.0,"[[4, 3], [2, 3]]",5
7,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.5428571428571428,0.0,"[[5, 2], [2, 3]]",5
8,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.5142857142857143,0.0,"[[5, 2], [2, 3]]",5
9,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.5142857142857142,0.0,"[[5, 2], [2, 3]]",5
10,0.5833333333333334,0.0,0.5804195804195804,0.0,12.0,0.0,0.48571428571428577,0.0,"[[4, 3], [2, 3]]",5
11,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6571428571428573,0.0,"[[5, 2], [2, 3]]",5
12,0.5833333333333334,0.0,0.5555555555555556,0.0,12.0,0.0,0.6571428571428571,0.0,"[[5, 2], [3, 2]]",5
13,0.5833333333333334,0.0,0.5555555555555556,0.0,12.0,0.0,0.6571428571428573,0.0,"[[5, 2], [3, 2]]",5
14,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.6857142857142857,0.0,"[[5, 2], [2, 3]]",5
15,0.5833333333333334,0.0,0.5555555555555556,0.0,12.0,0.0,0.6857142857142857,0.0,"[[5, 2], [3, 2]]",5
16,0.5,0.0,0.48571428571428565,5.551115123125783e-17,12.0,0.0,0.5428571428571429,0.0,"[[4, 3], [3, 2]]",5
17,0.5833333333333334,0.0,0.5555555555555556,0.0,12.0,0.0,0.6285714285714286,0.0,"[[5, 2], [3, 2]]",5
18,0.5,0.0,0.48571428571428565,5.551115123125783e-17,12.0,0.0,0.5714285714285714,0.0,"[[4, 3], [3, 2]]",5
19,0.5,0.0,0.48571428571428565,5.551115123125783e-17,12.0,0.0,0.4571428571428572,0.0,"[[4, 3], [3, 2]]",5
20,0.5,0.0,0.48571428571428565,5.551115123125783e-17,12.0,0.0,0.5142857142857142,0.0,"[[4, 3], [3, 2]]",5
21,0.5833333333333334,0.0,0.5555555555555556,0.0,12.0,0.0,0.6857142857142857,0.0,"[[5, 2], [3, 2]]",5
22,0.5833333333333334,0.0,0.5555555555555556,0.0,12.0,0.0,0.6000000000000001,0.0,"[[5, 2], [3, 2]]",5
23,0.5833333333333334,0.0,0.5555555555555556,0.0,12.0,0.0,0.6857142857142857,0.0,"[[5, 2], [3, 2]]",5
24,0.6666666666666666,0.0,0.6571428571428571,0.0,12.0,0.0,0.7142857142857142,0.0,"[[5, 2], [2, 3]]",5
25,0.5833333333333334,0.0,0.5555555555555556,0.0,12.0,0.0,0.6000000000000001,0.0,"[[5, 2], [3, 2]]",5
26,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.6571428571428571,0.0,"[[6, 1], [3, 2]]",5
27,0.5833333333333334,0.0,0.5555555555555556,0.0,12.0,0.0,0.6285714285714286,0.0,"[[5, 2], [3, 2]]",5
28,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.6,0.0,"[[6, 1], [3, 2]]",5
29,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.6000000000000001,0.0,"[[6, 1], [3, 2]]",5
30,0.5833333333333334,0.0,0.4957983193277311,0.0,12.0,0.0,0.7142857142857143,0.0,"[[6, 1], [4, 1]]",5
31,0.5833333333333334,0.0,0.4957983193277311,0.0,12.0,0.0,0.7142857142857143,0.0,"[[6, 1], [4, 1]]",5
32,0.5833333333333334,0.0,0.4957983193277311,0.0,12.0,0.0,0.7428571428571429,0.0,"[[6, 1], [4, 1]]",5
33,0.5833333333333334,0.0,0.4957983193277311,0.0,12.0,0.0,0.6285714285714286,0.0,"[[6, 1], [4, 1]]",5
34,0.5833333333333334,0.0,0.4957983193277311,0.0,12.0,0.0,0.6571428571428571,0.0,"[[6, 1], [4, 1]]",5
35,0.5833333333333334,0.0,0.4957983193277311,0.0,12.0,0.0,0.6285714285714286,0.0,"[[6, 1], [4, 1]]",5
