layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.625,0.0,0.5,0.0,16.0,0.0,0.8,0.0,"[[9, 6], [0, 1]]",5
1,0.9375,0.0,0.8160919540229885,0.0,16.0,0.0,1.0,0.0,"[[14, 1], [0, 1]]",5
2,0.9375,0.0,0.8160919540229885,0.0,16.0,0.0,0.9333333333333333,0.0,"[[14, 1], [0, 1]]",5
3,0.9375,0.0,0.4838709677419355,0.0,16.0,0.0,1.0,0.0,"[[15, 0], [1, 0]]",5
4,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[15, 0], [0, 1]]",5
5,0.9375,0.0,0.8160919540229885,0.0,16.0,0.0,0.9333333333333333,0.0,"[[14, 1], [0, 1]]",5
6,0.875,0.0,0.7142857142857143,0.0,16.0,0.0,1.0,0.0,"[[13, 2], [0, 1]]",5
7,0.9375,0.0,0.8160919540229885,0.0,16.0,0.0,1.0,0.0,"[[14, 1], [0, 1]]",5
8,0.9375,0.0,0.4838709677419355,0.0,16.0,0.0,1.0,0.0,"[[15, 0], [1, 0]]",5
9,0.8125,0.0,0.44827586206896547,5.551115123125783e-17,16.0,0.0,0.4,0.0,"[[13, 2], [1, 0]]",5
10,0.4375,0.0,0.30434782608695654,0.0,16.0,0.0,0.4666666666666667,0.0,"[[7, 8], [1, 0]]",5
11,0.5,0.0,0.41818181818181815,5.551115123125783e-17,16.0,0.0,0.6,0.0,"[[7, 8], [0, 1]]",5
12,0.625,0.0,0.5,0.0,16.0,0.0,0.6666666666666667,0.0,"[[9, 6], [0, 1]]",5
13,0.875,0.0,0.7142857142857143,0.0,16.0,0.0,1.0,0.0,"[[13, 2], [0, 1]]",5
14,0.875,0.0,0.7142857142857143,0.0,16.0,0.0,1.0,0.0,"[[13, 2], [0, 1]]",5
15,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,"[[15, 0], [0, 1]]",5
16,0.9375,0.0,0.4838709677419355,0.0,16.0,0.0,1.0,0.0,"[[15, 0], [1, 0]]",5
17,0.9375,0.0,0.4838709677419355,0.0,16.0,0.0,0.6666666666666667,0.0,"[[15, 0], [1, 0]]",5
18,0.9375,0.0,0.4838709677419355,0.0,16.0,0.0,0.33333333333333337,0.0,"[[15, 0], [1, 0]]",5
19,0.9375,0.0,0.4838709677419355,0.0,16.0,0.0,0.33333333333333337,0.0,"[[15, 0], [1, 0]]",5
20,0.8125,0.0,0.44827586206896547,5.551115123125783e-17,16.0,0.0,0.19999999999999996,0.0,"[[13, 2], [1, 0]]",5
21,0.875,0.0,0.4666666666666667,0.0,16.0,0.0,0.19999999999999996,0.0,"[[14, 1], [1, 0]]",5
22,0.875,0.0,0.4666666666666667,0.0,16.0,0.0,0.1333333333333333,0.0,"[[14, 1], [1, 0]]",5
23,0.875,0.0,0.4666666666666667,0.0,16.0,0.0,0.1333333333333333,0.0,"[[14, 1], [1, 0]]",5
24,0.875,0.0,0.4666666666666667,0.0,16.0,0.0,0.06666666666666665,0.0,"[[14, 1], [1, 0]]",5
25,0.875,0.0,0.4666666666666667,0.0,16.0,0.0,0.19999999999999996,0.0,"[[14, 1], [1, 0]]",5
26,0.875,0.0,0.4666666666666667,0.0,16.0,0.0,0.4,0.0,"[[14, 1], [1, 0]]",5
27,0.9375,0.0,0.4838709677419355,0.0,16.0,0.0,0.4666666666666667,0.0,"[[15, 0], [1, 0]]",5
28,0.9375,0.0,0.4838709677419355,0.0,16.0,0.0,0.7333333333333334,0.0,"[[15, 0], [1, 0]]",5
29,0.9375,0.0,0.4838709677419355,0.0,16.0,0.0,0.6,0.0,"[[15, 0], [1, 0]]",5
30,0.875,0.0,0.4666666666666667,0.0,16.0,0.0,0.7333333333333334,0.0,"[[14, 1], [1, 0]]",5
31,0.8125,0.0,0.44827586206896547,5.551115123125783e-17,16.0,0.0,0.8,0.0,"[[13, 2], [1, 0]]",5
32,0.8125,0.0,0.44827586206896547,5.551115123125783e-17,16.0,0.0,0.8,0.0,"[[13, 2], [1, 0]]",5
33,0.8125,0.0,0.44827586206896547,5.551115123125783e-17,16.0,0.0,0.8,0.0,"[[13, 2], [1, 0]]",5
34,0.875,0.0,0.4666666666666667,0.0,16.0,0.0,0.9333333333333333,0.0,"[[14, 1], [1, 0]]",5
35,0.8125,0.0,0.44827586206896547,5.551115123125783e-17,16.0,0.0,0.7333333333333334,0.0,"[[13, 2], [1, 0]]",5
