layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.888888888888889,1.1102230246251565e-16,0.8882758620689655,0.0,54.0,0.0,0.9789621318373072,0.0,"[[22, 1], [5, 26]]",5
1,0.9444444444444444,0.0,0.9434949424485526,1.1102230246251565e-16,54.0,0.0,0.9929873772791025,0.0,"[[22, 1], [2, 29]]",5
2,0.9444444444444444,0.0,0.9434949424485526,1.1102230246251565e-16,54.0,0.0,0.9901823281907433,1.1102230246251565e-16,"[[22, 1], [2, 29]]",5
3,0.962962962962963,1.1102230246251565e-16,0.962131837307153,1.1102230246251565e-16,54.0,0.0,0.9901823281907433,1.1102230246251565e-16,"[[22, 1], [1, 30]]",5
4,0.9814814814814815,0.0,0.9809523809523808,1.1102230246251565e-16,54.0,0.0,0.9915848527349229,0.0,"[[22, 1], [0, 31]]",5
5,0.9814814814814815,0.0,0.9809523809523808,1.1102230246251565e-16,54.0,0.0,0.9957924263674615,0.0,"[[22, 1], [0, 31]]",5
6,0.962962962962963,1.1102230246251565e-16,0.962131837307153,1.1102230246251565e-16,54.0,0.0,0.994389901823282,1.1102230246251565e-16,"[[22, 1], [1, 30]]",5
7,0.9814814814814815,0.0,0.9809523809523808,1.1102230246251565e-16,54.0,0.0,0.9929873772791025,0.0,"[[22, 1], [0, 31]]",5
8,0.9814814814814815,0.0,0.9809523809523808,1.1102230246251565e-16,54.0,0.0,0.994389901823282,1.1102230246251565e-16,"[[22, 1], [0, 31]]",5
9,0.962962962962963,1.1102230246251565e-16,0.962131837307153,1.1102230246251565e-16,54.0,0.0,0.994389901823282,1.1102230246251565e-16,"[[22, 1], [1, 30]]",5
10,0.962962962962963,1.1102230246251565e-16,0.962131837307153,1.1102230246251565e-16,54.0,0.0,0.994389901823282,1.1102230246251565e-16,"[[22, 1], [1, 30]]",5
11,0.9444444444444444,0.0,0.9434949424485526,1.1102230246251565e-16,54.0,0.0,0.9761570827489481,0.0,"[[22, 1], [2, 29]]",5
12,0.9444444444444444,0.0,0.9434949424485526,1.1102230246251565e-16,54.0,0.0,0.9845722300140253,0.0,"[[22, 1], [2, 29]]",5
13,0.9444444444444444,0.0,0.9434949424485526,1.1102230246251565e-16,54.0,0.0,0.9817671809256663,0.0,"[[22, 1], [2, 29]]",5
14,0.9444444444444444,0.0,0.9434949424485526,1.1102230246251565e-16,54.0,0.0,0.9803646563814867,0.0,"[[22, 1], [2, 29]]",5
15,0.9444444444444444,0.0,0.9434949424485526,1.1102230246251565e-16,54.0,0.0,0.9859747545582047,1.1102230246251565e-16,"[[22, 1], [2, 29]]",5
16,0.9444444444444444,0.0,0.9434949424485526,1.1102230246251565e-16,54.0,0.0,0.9929873772791025,0.0,"[[22, 1], [2, 29]]",5
17,0.9259259259259259,0.0,0.925,0.0,54.0,0.0,0.9929873772791025,0.0,"[[22, 1], [3, 28]]",5
18,0.9444444444444444,0.0,0.9434949424485526,1.1102230246251565e-16,54.0,0.0,0.9915848527349229,0.0,"[[22, 1], [2, 29]]",5
19,0.9444444444444444,0.0,0.9434949424485526,1.1102230246251565e-16,54.0,0.0,0.9873772791023843,0.0,"[[22, 1], [2, 29]]",5
20,0.9444444444444444,0.0,0.9434949424485526,1.1102230246251565e-16,54.0,0.0,0.9817671809256663,0.0,"[[22, 1], [2, 29]]",5
21,0.9444444444444444,0.0,0.9434949424485526,1.1102230246251565e-16,54.0,0.0,0.9803646563814867,0.0,"[[22, 1], [2, 29]]",5
22,0.9444444444444444,0.0,0.9434949424485526,1.1102230246251565e-16,54.0,0.0,0.9719495091164095,0.0,"[[22, 1], [2, 29]]",5
23,0.9444444444444444,0.0,0.9434949424485526,1.1102230246251565e-16,54.0,0.0,0.9719495091164095,0.0,"[[22, 1], [2, 29]]",5
24,0.9444444444444444,0.0,0.9434949424485526,1.1102230246251565e-16,54.0,0.0,0.9719495091164095,0.0,"[[22, 1], [2, 29]]",5
25,0.9444444444444444,0.0,0.9434949424485526,1.1102230246251565e-16,54.0,0.0,0.9747545582047688,1.1102230246251565e-16,"[[22, 1], [2, 29]]",5
26,0.9444444444444444,0.0,0.9434949424485526,1.1102230246251565e-16,54.0,0.0,0.9705469845722302,1.1102230246251565e-16,"[[22, 1], [2, 29]]",5
27,0.9444444444444444,0.0,0.9434949424485526,1.1102230246251565e-16,54.0,0.0,0.9705469845722302,1.1102230246251565e-16,"[[22, 1], [2, 29]]",5
28,0.9444444444444444,0.0,0.9434949424485526,1.1102230246251565e-16,54.0,0.0,0.9761570827489481,0.0,"[[22, 1], [2, 29]]",5
29,0.9444444444444444,0.0,0.9434949424485526,1.1102230246251565e-16,54.0,0.0,0.9775596072931275,1.1102230246251565e-16,"[[22, 1], [2, 29]]",5
30,0.9444444444444444,0.0,0.9434949424485526,1.1102230246251565e-16,54.0,0.0,0.9775596072931275,1.1102230246251565e-16,"[[22, 1], [2, 29]]",5
31,0.9444444444444444,0.0,0.9434949424485526,1.1102230246251565e-16,54.0,0.0,0.9663394109396914,0.0,"[[22, 1], [2, 29]]",5
32,0.9444444444444444,0.0,0.9434949424485526,1.1102230246251565e-16,54.0,0.0,0.9747545582047688,1.1102230246251565e-16,"[[22, 1], [2, 29]]",5
33,0.9444444444444444,0.0,0.9434949424485526,1.1102230246251565e-16,54.0,0.0,0.9761570827489481,0.0,"[[22, 1], [2, 29]]",5
34,0.9444444444444444,0.0,0.9434949424485526,1.1102230246251565e-16,54.0,0.0,0.9747545582047688,1.1102230246251565e-16,"[[22, 1], [2, 29]]",5
35,0.9259259259259259,0.0,0.925,0.0,54.0,0.0,0.9705469845722302,1.1102230246251565e-16,"[[22, 1], [3, 28]]",5
