layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
1,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
2,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
3,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
4,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
5,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
6,0.5714285714285714,0.0,0.475,0.0,14.0,0.0,1.0,0.0,"[[1, 6], [0, 7]]",5
7,0.5714285714285714,0.0,0.475,0.0,14.0,0.0,1.0,0.0,"[[1, 6], [0, 7]]",5
8,0.5714285714285714,0.0,0.475,0.0,14.0,0.0,0.9183673469387754,0.0,"[[1, 6], [0, 7]]",5
9,0.5714285714285714,0.0,0.475,0.0,14.0,0.0,1.0,0.0,"[[1, 6], [0, 7]]",5
10,0.5714285714285714,0.0,0.475,0.0,14.0,0.0,0.9387755102040816,0.0,"[[1, 6], [0, 7]]",5
11,0.5714285714285714,0.0,0.475,0.0,14.0,0.0,1.0,0.0,"[[1, 6], [0, 7]]",5
12,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
13,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
14,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
15,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
16,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
17,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
18,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
19,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
20,0.8571428571428571,0.0,0.8541666666666667,0.0,14.0,0.0,1.0,0.0,"[[5, 2], [0, 7]]",5
21,0.5714285714285714,0.0,0.475,0.0,14.0,0.0,1.0,0.0,"[[1, 6], [0, 7]]",5
22,0.5714285714285714,0.0,0.475,0.0,14.0,0.0,1.0,0.0,"[[1, 6], [0, 7]]",5
23,0.5,0.0,0.3333333333333333,0.0,14.0,0.0,1.0,0.0,"[[0, 7], [0, 7]]",5
24,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,1.0,0.0,"[[6, 1], [0, 7]]",5
25,0.5,0.0,0.3333333333333333,0.0,14.0,0.0,1.0,0.0,"[[0, 7], [0, 7]]",5
26,0.5,0.0,0.3333333333333333,0.0,14.0,0.0,1.0,0.0,"[[0, 7], [0, 7]]",5
27,0.7857142857142857,0.0,0.7754010695187166,0.0,14.0,0.0,1.0,0.0,"[[4, 3], [0, 7]]",5
28,0.7857142857142857,0.0,0.7754010695187166,0.0,14.0,0.0,1.0,0.0,"[[4, 3], [0, 7]]",5
29,0.7857142857142857,0.0,0.7754010695187166,0.0,14.0,0.0,1.0,0.0,"[[4, 3], [0, 7]]",5
30,0.6428571428571429,0.0,0.5906432748538011,0.0,14.0,0.0,1.0,0.0,"[[2, 5], [0, 7]]",5
31,0.6428571428571429,0.0,0.5906432748538011,0.0,14.0,0.0,1.0,0.0,"[[2, 5], [0, 7]]",5
32,0.5714285714285714,0.0,0.475,0.0,14.0,0.0,1.0,0.0,"[[1, 6], [0, 7]]",5
33,0.5,0.0,0.3333333333333333,0.0,14.0,0.0,1.0,0.0,"[[0, 7], [0, 7]]",5
34,0.5714285714285714,0.0,0.475,0.0,14.0,0.0,1.0,0.0,"[[1, 6], [0, 7]]",5
35,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,1.0,0.0,"[[6, 1], [0, 7]]",5
